Buss, D. M. => Buss, D. M.
Butler, C. W. => Butler, C. W.
Butler, K. => Butler, Keith
Buttazzo, G. => Buttazzo, G.
Buytendijk, F. J J. => Buytendijk, F. J J.
Cain, M. J => Cain, M. J
Cain, M. J. => Cain, M. J.
Calhoun, C. => Calhoun, C.
Callaway, H. G. => Callaway, H. G.
Campagnac, E. T. => Campagnac, E. T.
Campbell, D. => Campbell, D.
Campbell, J. => Campbell, J.
Campbell, K. => Campbell, Keith K.
Campbell, N. => Campbell, N.
Campbell, P. A => Campbell, P. A
Campbell, S. => Campbell, S.
Caplain, G. => Caplain, G.
Carlson, E. => Carlson, E.
Carrier, L. => Carrier, L.
Carrier, L. S => Carrier, L. S
Carter, W. => Carter, W.
Cascardi, A. J. => Cascardi, A. J.
Case, J. => Case, J.
Castaneda, H. => Castaneda, Hector-Neri
Causey, R. L. => Causey, R. L.
Centore, F. F => Centore, F. F
Chambers, D. => Chambers, D.
Chan, D. K. => Chan, D. K.
Chandler, J. H. => Chandler, J. H.
Chandrasekaran, B. => Chandrasekaran, B.
Chapman, C. => Chapman, C.
Chapman, C. N. => Chapman, C. N.
Chapman, C. R. => Chapman, C. R.
Chappell, V. C => Chappell, V. C
Chappell, V. C. => Chappell, V. C.
Chari, C. => Chari, C.
Chari, C. T K. => Chari, C. T K.
Charles, D. => Charles, D.
Cheeks, J. M. => Cheeks, J. M.
Cheney, D. L. => Cheney, D. L.
Cheney, J. E => Cheney, J. E
Cheng, C. => Cheng, C.
Chien, A. J. => Chien, A. J.
Chihara, C. => Chihara, Charles
Christensen, W. D. => Christensen, W. D.
Christiansen, M. H. => Christiansen, Morten H.
Christie, J. => Christie, J.
Chubb, J. N => Chubb, J. N
Chung, M. => Chung, M.
Churchland, P. => Churchland, P.
Cicekli, I. => Cicekli, I.
Cilliers, F. P => Cilliers, F. P
Clapp, L. => Clapp, L.
Clark, A. B. => Clark, A. B.
Clark, A. => Clark, A.
Clark, A. J => Clark, A. J
Clark Barrett, H. => Clark Barrett, H.
Clarke, D. S => Clarke, D. S
Clarke, J. => Clarke, J.
Clarke, J. J => Clarke, J. J
Clarke, M. => Clarke, M.
Clark, R. => Clark, R.
